Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001	Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	86909.0	0.0	50-151	63.0	36.4277577696211	143.99280856988344	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001	Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	86909.0	0.0	50-151	62.0	38.56792737230897	143.9929121264771	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001	Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	91101.0	0.0	50-151	63.0	37.239986388733385	141.381620399337	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001	Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	91101.0	0.0	50-151	63.0	38.97761824787872	141.3818289590674	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001	Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	149038.0	0.0	50-151	62.0	35.95190488331835	139.6516928568553	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001	Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	149038.0	0.0	50-151	62.0	37.75345884942095	139.6516928568553	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001	Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	148524.0	0.0	50-151	62.0	36.113355417306295	139.18210524898333	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001	Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	148524.0	0.0	50-151	62.0	37.948749023726805	139.1820715843904	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001	KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	103576.0	0.0	50-151	62.0	38.51857573182977	142.47422182745038	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001	KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	103576.0	0.0	50-151	62.0	38.88545609021395	142.42887348420484	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R1_001	KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	106123.0	0.0	50-151	62.0	38.41108901934548	142.10841193709186	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001	KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	106123.0	0.0	50-151	62.0	38.726760457205316	142.04955570423	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001	KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	156626.0	0.0	50-151	61.0	40.756323981969786	143.57421500900233	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001	KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	156626.0	0.0	50-151	61.0	40.52264630393421	143.51884106087113	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001	KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	159423.0	0.0	50-151	61.0	39.24402376068698	143.65531322331157	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001	KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	159423.0	0.0	50-151	61.0	38.9818282180112	143.60028352245286	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
